Popped,Size (longest),Size (shortest),Color, Is Salty
Yes,29,9,White,Yes
Yes,31,6,White,yes
Yes,20,12,Brown,No
Yes,28,12,Yellow,Yes
Yes,31,12,Brown,No
Yes,34,9,White,Yes
Yes,39,11,Brown,No
Yes,36,11,White,Yes
Yes,32,14,Brown,No
Yes,36,8,White,Yes
Yes,29,10,Black,No
Yes,29,8,White,No
Yes,32,7,Yellow,Yes
Yes,23,11,White,No
Yes,27,6,Yellow,Yes
No,6,5,Orange,Bad
Yes,22,15,Yellow,Yes
Yes,27,9,White,Yes
Yes,24,10,Brown,Yes
No,7,4,Orange,Bad
Yes,19,6,Black,Yes
Yes,34,19,Brown,No
Yes,24,14,Brown,Yes
Yes,43,13,Brown,Yes
Yes,29,18,White,Yes
Yes,35,15,Brown,Yes
Yes,36,10,Brown,No
No,6,8,Orange,Yes
Yes,30,16,White,Yes
Yes,33,11,White,Yes
No,6,4,Black-ish,No
Yes,33,7,Brown,Yes
Yes,27,10,White,No
Yes,30,12,White,Yes
No,8,4,Orange,No
Yes,23,11,Brown,Yes
Yes,26,14,White,Yes
Yes,34,19,Brown,No
Yes,30,9,White,No
No,5,5,Orange,No
Yes,21,12,Brown,Yes
Yes,24,17,White,No
Yes,27,6,Black,Yes
Yes,26,7,White,Yes
Yes,19,8,Yellow-ish,Yes
Yes,21,15,Brown,Yes
Yes,17,6,Brown,Yes
Yes,38,19,Yellow-ish,Yes
Yes,19,7,Black,Yes
Yes,47,16,White,Yes
Yes,27,12,Yellow,Yes
No,5,4,Orange,No
Yes,20,17,White,Yes
Yes,36,5,Brown,Yes
Yes,23,12,White,No
Yes,39,15,Brown,Yes
No,7,4,Orange,No
Yes,23,12,Brown,Yes
No,8,7,Black,Yes
Yes,28,15,Black,Yes
Yes,14,8,White,No
Yes,24,11,Yellow,Yes
Yes,28,22,White,Yes
No,8,6,Orange,No
Yes,32,9,White,Yes
Yes,20,9,Black,Yes
Yes,36,10,White,No
Yes,23,9,Yellow,No
Yes,30,15,Yellow,No
Yes,19,10,White,Yes
Yes,30,15,Yellow,No
Yes,35,6,White,Yes
Yes,21,8,White,Yes
Yes,15,8,Black,No
Yes,24,10,Yellow,No
Yes,24,11,Brown,Yes
No,7,6,Orange,Yes
Yes,28,6,Yellow,No
Yes,20,6,Yellow,No
Yes,20,6,Black,Yes
Yes,16,6,Yellow,No
No,9,4,Orange,No
Yes,31,10,Brown,Yes
Yes,27,10,Brown,Yes
No,8,5,Orange,No
Yes,21,10,Yellow,Yes
Yes,21,7,Brown,Yes
Yes,20,10,Yellow,Yes
Yes,20,9,Black,Yes
Yes,22,10,Brown,Yes
Yes,20,11,Brown,Yes
Yes,26,11,Black,Yes
Yes,20,10,Yellow,No
No,7,6,Orange,No
Yes,15,12,Yellow,Yes
Yes,23,18,White,Yes
No,8,5,Orange,Yes
Yes,28,12,Black,Yes
Yes,17,6,White,No
Yes,16,4,White,No
